Ic102	Ib102	Ia102	Ic101	Ib101	Io346	Ia101	Ic346	Ib346	Ia346	Io345	Ic345	Ib345	Io344	Ia345	Ic344	Ib344	Ia344	Io343	Ic343	Ib343	Io342	Ia343	Ic342	Ib342	Ia342	Io341	Ic341	Ib341	Io324	Ia341	Ic324	Ib324	Ia324	Io323	Ic323	Ib323	Io322	Ia323	Ic322	Ib322	Ia322	Io321	Ic321	Ib321	Ia321	Io312	Ic312	Ib312	Ia312	Io302	Ic302	Ib302	Ia302	Ec32	Eb32	Ea32	Io301	Ic301	Ib301	Ia301	Ec31	Eb31	Ea31	I1020	Ic182	Ib182	Ia182	Ec12	Eb12	Ea12	I1010	Ic181	Ib181	Ia181	Ec11	Eb11	Ea11
-0.0043 	-0.0033 	0.0076 	-0.0050 	-0.0032 	0.0000 	0.0083 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0000 	0.0001 	-0.0001 	-0.0001 	0.0001 	0.0000 	-0.0001 	-0.0001 	0.0000 	0.0001 	-0.0001 	-0.0001 	0.0001 	0.0000 	-0.0001 	-0.0001 	0.0001 	0.0000 	0.0006 	0.0000 	-0.0006 	0.0000 	0.0000 	0.0000 	0.0000 	-31.1330 	12.0077 	19.1253 	0.0000 	-0.0013 	0.0001 	0.0012 	-31.1330 	12.0077 	19.1253 	0.0000 	-0.0003 	-0.0036 	0.0039 	-71.2259 	-11.7294 	82.9553 	0.0000 	-0.0006 	-0.0038 	0.0044 	-71.2220 	-11.7338 	82.9558 
-0.0051 	-0.0027 	0.0078 	-0.0059 	-0.0025 	0.0000 	0.0084 	-0.0001 	0.0001 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0001 	-0.0001 	0.0001 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0001 	-0.0001 	0.0001 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0001 	-0.0001 	-0.0001 	0.0001 	0.0000 	-0.0001 	-0.0001 	0.0000 	0.0001 	-0.0001 	-0.0001 	0.0001 	0.0000 	-0.0001 	-0.0001 	0.0001 	0.0000 	0.0007 	-0.0001 	-0.0005 	0.0000 	0.0000 	0.0000 	0.0000 	-31.3367 	17.4383 	13.8984 	0.0000 	-0.0014 	0.0003 	0.0011 	-31.3367 	17.4383 	13.8984 	0.0000 	-0.0008 	-0.0035 	0.0043 	-80.5221 	5.8622 	74.6599 	0.0000 	-0.0011 	-0.0036 	0.0048 	-80.5189 	5.8576 	74.6613 
-0.0058 	-0.0020 	0.0078 	-0.0067 	-0.0017 	0.0000 	0.0083 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0000 	0.0002 	0.0000 	-0.0001 	0.0000 	0.0000 	0.0002 	-0.0001 	0.0000 	0.0002 	0.0000 	-0.0001 	0.0000 	0.0002 	0.0000 	0.0007 	-0.0003 	-0.0004 	0.0000 	0.0000 	0.0000 	0.0000 	-30.3361 	22.1988 	8.1373 	0.0000 	-0.0014 	0.0005 	0.0009 	-30.3361 	22.1988 	8.1373 	0.0000 	-0.0013 	-0.0033 	0.0045 	-86.7240 	23.2286 	63.4954 	0.0000 	-0.0017 	-0.0033 	0.0050 	-86.7215 	23.2238 	63.4977 
-0.0065 	-0.0012 	0.0077 	-0.0073 	-0.0008 	0.0000 	0.0081 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0000 	0.0002 	0.0000 	-0.0001 	0.0000 	0.0000 	0.0002 	-0.0001 	0.0000 	0.0002 	0.0000 	-0.0001 	0.0000 	0.0002 	0.0000 	0.0007 	-0.0003 	-0.0003 	0.0000 	0.0000 	0.0000 	0.0000 	-28.1695 	26.1062 	2.0633 	0.0000 	-0.0014 	0.0007 	0.0007 	-28.1695 	26.1062 	2.0633 	0.0000 	-0.0018 	-0.0029 	0.0047 	-89.5931 	39.7023 	49.8908 	0.0000 	-0.0022 	-0.0030 	0.0051 	-89.5914 	39.6976 	49.8938 
-0.0070 	-0.0004 	0.0074 	-0.0078 	0.0002 	0.0000 	0.0077 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0001 	0.0000 	0.0007 	-0.0004 	-0.0002 	0.0000 	0.0000 	0.0000 	0.0000 	-24.9204 	29.0103 	-4.0899 	0.0000 	-0.0013 	0.0008 	0.0005 	-24.9204 	29.0103 	-4.0899 	0.0000 	-0.0022 	-0.0026 	0.0048 	-89.0192 	54.6502 	34.3689 	0.0000 	-0.0027 	-0.0025 	0.0052 	-89.0184 	54.6458 	34.3726 
-0.0074 	0.0005 	0.0069 	-0.0082 	0.0011 	0.0000 	0.0071 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0001 	0.0000 	0.0006 	-0.0005 	-0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	-20.7135 	30.7996 	-10.0861 	0.0000 	-0.0012 	0.0010 	0.0003 	-20.7135 	30.7996 	-10.0861 	0.0000 	-0.0026 	-0.0021 	0.0048 	-85.0243 	67.4980 	17.5263 	0.0000 	-0.0031 	-0.0020 	0.0051 	-85.0244 	67.4940 	17.5305 
-0.0077 	0.0013 	0.0064 	-0.0083 	0.0019 	0.0000 	0.0064 	-0.0001 	0.0001 	-0.0001 	0.0000 	-0.0001 	0.0001 	0.0000 	-0.0001 	-0.0001 	0.0001 	-0.0001 	0.0000 	-0.0001 	0.0001 	0.0000 	-0.0001 	-0.0001 	0.0001 	-0.0001 	0.0000 	-0.0001 	0.0001 	0.0000 	-0.0001 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0001 	0.0000 	0.0006 	-0.0005 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	-15.7105 	31.4053 	-15.6948 	0.0000 	-0.0011 	0.0011 	0.0000 	-15.7105 	31.4053 	-15.6948 	0.0000 	-0.0030 	-0.0017 	0.0047 	-77.7620 	77.7519 	0.0101 	0.0000 	-0.0034 	-0.0015 	0.0049 	-77.7631 	77.7484 	0.0146 
-0.0078 	0.0021 	0.0057 	-0.0083 	0.0027 	0.0000 	0.0056 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0000 	0.0001 	0.0000 	-0.0001 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0001 	0.0000 	0.0005 	-0.0006 	0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	-10.1037 	30.8041 	-20.7004 	0.0000 	-0.0009 	0.0011 	-0.0002 	-10.1037 	30.8041 	-20.7004 	0.0000 	-0.0033 	-0.0012 	0.0045 	-67.5113 	85.0178 	-17.5065 	0.0000 	-0.0037 	-0.0009 	0.0046 	-67.5133 	85.0150 	-17.5017 
-0.0077 	0.0028 	0.0049 	-0.0081 	0.0034 	0.0000 	0.0047 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0000 	0.0001 	0.0000 	-0.0001 	-0.0002 	0.0000 	0.0001 	0.0000 	-0.0002 	0.0000 	0.0000 	0.0001 	-0.0002 	0.0000 	0.0001 	0.0000 	-0.0002 	0.0000 	0.0001 	0.0000 	0.0004 	-0.0006 	0.0002 	0.0000 	0.0000 	0.0000 	0.0000 	-4.1085 	29.0191 	-24.9106 	0.0000 	-0.0008 	0.0011 	-0.0004 	-4.1085 	29.0191 	-24.9106 	0.0000 	-0.0035 	-0.0007 	0.0042 	-54.6663 	89.0165 	-34.3503 	0.0000 	-0.0039 	-0.0004 	0.0043 	-54.6690 	89.0146 	-34.3455 
-0.0074 	0.0033 	0.0041 	-0.0078 	0.0040 	0.0000 	0.0038 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0000 	0.0001 	0.0000 	-0.0001 	-0.0001 	0.0001 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0001 	-0.0001 	0.0001 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0001 	0.0000 	0.0003 	-0.0005 	0.0003 	0.0000 	0.0000 	0.0000 	0.0000 	2.0446 	26.1190 	-28.1636 	0.0000 	-0.0005 	0.0011 	-0.0005 	2.0446 	26.1190 	-28.1636 	0.0000 	-0.0036 	-0.0003 	0.0039 	-39.7204 	89.5944 	-49.8740 	0.0000 	-0.0039 	0.0001 	0.0039 	-39.7238 	89.5933 	-49.8695 
