Ic102	Ib102	Ia102	Ic101	Ib101	Io346	Ia101	Ic346	Ib346	Ia346	Io345	Ic345	Ib345	Io344	Ia345	Ic344	Ib344	Ia344	Io343	Ic343	Ib343	Io342	Ia343	Ic342	Ib342	Ia342	Io341	Ic341	Ib341	Io324	Ia341	Ic324	Ib324	Ia324	Io323	Ic323	Ib323	Io322	Ia323	Ic322	Ib322	Ia322	Io321	Ic321	Ib321	Ia321	Io312	Ic312	Ib312	Ia312	Io302	Ic302	Ib302	Ia302	Ec32	Eb32	Ea32	Io301	Ic301	Ib301	Ia301	Ec31	Eb31	Ea31	I1020	Ic182	Ib182	Ia182	Ec12	Eb12	Ea12	I1010	Ic181	Ib181	Ia181	Ec11	Eb11	Ea11
-0.0080 	0.0024 	0.0056 	-1.8506 	1.8450 	0.0000 	0.0056 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	-0.0001 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	-0.0001 	0.0000 	0.0001 	-0.0001 	0.0000 	-3.0444 	3.0445 	0.0000 	-0.0001 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	-0.0001 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0001 	0.0000 	-0.0001 	-0.0001 	0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	-0.0005 	0.0006 	-0.0001 	-10.1012 	30.8050 	-20.7038 	0.0000 	-3.0444 	3.0445 	-0.0001 	10.3364 	10.3674 	-20.7038 	0.0000 	-0.0035 	-0.0011 	0.0046 	-67.5124 	85.0165 	-17.5041 	0.0000 	-1.2319 	0.6131 	0.6188 	-53.4090 	77.9648 	-24.5558 
-0.0079 	0.0031 	0.0048 	-2.1592 	2.1544 	0.0000 	0.0048 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	-0.0001 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	-0.0001 	0.0000 	0.0001 	-0.0001 	0.0000 	-3.5539 	3.5540 	0.0000 	-0.0001 	-0.0002 	0.0000 	0.0001 	0.0000 	-0.0001 	-0.0001 	0.0000 	0.0001 	-0.0002 	0.0000 	0.0001 	0.0000 	-0.0001 	-0.0001 	0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	-0.0004 	0.0006 	-0.0002 	-4.1056 	29.0193 	-24.9137 	0.0000 	-3.5538 	3.5540 	-0.0002 	12.4388 	12.4748 	-24.9137 	0.0000 	-0.0037 	-0.0006 	0.0042 	-54.6677 	89.0156 	-34.3479 	0.0000 	-1.4379 	0.7165 	0.7213 	-43.8126 	83.5880 	-39.7754 
-0.0076 	0.0037 	0.0039 	-2.3852 	2.3813 	0.0000 	0.0039 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0001 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0001 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0001 	-0.0001 	0.0000 	-3.9274 	3.9275 	0.0000 	-0.0001 	-0.0001 	0.0001 	0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	0.0001 	-0.0001 	0.0001 	0.0001 	0.0000 	0.0000 	0.0000 	0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	-0.0003 	0.0005 	-0.0003 	2.0478 	26.1184 	-28.1662 	0.0000 	-3.9273 	3.9276 	-0.0003 	14.0633 	14.1029 	-28.1662 	0.0000 	-0.0038 	-0.0001 	0.0038 	-39.7222 	89.5939 	-49.8717 	0.0000 	-1.5888 	0.7925 	0.7964 	-32.5329 	85.9992 	-53.4664 
-0.0071 	0.0041 	0.0030 	-2.5201 	2.5170 	0.0000 	0.0030 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0001 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0001 	-0.0001 	0.0000 	0.0001 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0001 	-0.0001 	0.0000 	-4.1505 	4.1507 	0.0000 	-0.0001 	-0.0001 	0.0001 	0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	0.0001 	-0.0001 	0.0001 	0.0001 	0.0000 	0.0000 	0.0000 	0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	-0.0002 	0.0005 	-0.0003 	8.1226 	22.2139 	-30.3365 	0.0000 	-4.1504 	4.1508 	-0.0003 	15.1474 	15.1891 	-30.3365 	0.0000 	-0.0037 	0.0003 	0.0034 	-23.2502 	86.7292 	-63.4790 	0.0000 	-1.6790 	0.8380 	0.8410 	-20.0032 	85.1057 	-65.1025 
-0.0066 	0.0044 	0.0022 	-2.5585 	2.5563 	0.0000 	0.0022 	0.0001 	0.0001 	-0.0001 	0.0000 	0.0001 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0001 	-0.0001 	0.0000 	0.0001 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0001 	-0.0001 	0.0000 	-4.2148 	4.2149 	0.0000 	-0.0001 	-0.0001 	0.0001 	0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	0.0001 	-0.0001 	0.0001 	0.0001 	0.0000 	0.0000 	0.0000 	0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	-0.0001 	0.0004 	-0.0004 	13.8853 	17.4556 	-31.3410 	0.0000 	-4.2146 	4.2150 	-0.0004 	15.6494 	15.6915 	-31.3410 	0.0000 	-0.0036 	0.0007 	0.0029 	-5.8847 	80.5315 	-74.6468 	0.0000 	-1.7049 	0.8514 	0.8536 	-6.7052 	80.9417 	-74.2366 
-0.0058 	0.0045 	0.0014 	-2.4990 	2.4977 	0.0000 	0.0014 	0.0001 	0.0001 	-0.0001 	0.0000 	0.0001 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0001 	-0.0001 	0.0000 	0.0001 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0001 	-0.0001 	0.0000 	-4.1175 	4.1177 	0.0000 	-0.0001 	-0.0001 	0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0001 	0.0004 	-0.0004 	19.1145 	12.0266 	-31.1411 	0.0000 	-4.1174 	4.1178 	-0.0004 	15.5501 	15.5911 	-31.1411 	0.0000 	-0.0034 	0.0010 	0.0024 	11.7069 	71.2391 	-82.9460 	0.0000 	-1.6656 	0.8321 	0.8335 	6.8503 	73.6674 	-80.5177 
-0.0050 	0.0044 	0.0007 	-2.3440 	2.3433 	0.0000 	0.0007 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0001 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0001 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0000 	-0.0001 	0.0000 	-3.8627 	3.8628 	0.0000 	-0.0001 	-0.0001 	0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0002 	0.0003 	-0.0004 	23.6093 	6.1354 	-29.7446 	0.0000 	-3.8625 	3.8629 	-0.0004 	14.8532 	14.8915 	-29.7446 	0.0000 	-0.0031 	0.0012 	0.0019 	28.8487 	59.2089 	-88.0576 	0.0000 	-1.5624 	0.7809 	0.7815 	20.1422 	63.5622 	-83.7043 
-0.0042 	0.0041 	0.0000 	-2.0993 	2.0992 	0.0000 	0.0000 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0001 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0001 	0.0001 	0.0000 	-0.0001 	0.0001 	0.0000 	-0.0001 	0.0000 	-3.4599 	3.4600 	0.0000 	-0.0001 	-0.0001 	0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0002 	0.0002 	-0.0004 	27.1968 	0.0084 	-27.2051 	0.0000 	-3.4597 	3.4601 	-0.0004 	13.5855 	13.6196 	-27.2051 	0.0000 	-0.0028 	0.0014 	0.0014 	44.8818 	44.9034 	-89.7852 	0.0000 	-1.3995 	0.6997 	0.6998 	32.6597 	51.0145 	-83.6742 
-0.0033 	0.0037 	-0.0004 	-1.7743 	1.7747 	0.0000 	-0.0004 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	-0.0001 	0.0000 	-2.9246 	2.9247 	0.0000 	-0.0001 	-0.0001 	0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0003 	0.0000 	-0.0004 	29.7392 	-6.1190 	-23.6202 	0.0000 	-2.9245 	2.9249 	-0.0004 	11.7958 	11.8244 	-23.6202 	0.0000 	-0.0023 	0.0014 	0.0010 	59.1902 	28.8723 	-88.0625 	0.0000 	-1.1830 	0.5917 	0.5913 	43.9219 	36.5064 	-80.4283 
-0.0024 	0.0032 	-0.0008 	-1.3816 	1.3823 	0.0000 	-0.0008 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	-0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	-0.0001 	0.0000 	-2.2775 	2.2776 	0.0000 	-0.0001 	-0.0001 	0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	-0.0001 	0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0004 	-0.0001 	-0.0003 	31.1388 	-12.0111 	-19.1277 	0.0000 	-2.2774 	2.2777 	-0.0003 	9.5528 	9.5749 	-19.1277 	0.0000 	-0.0019 	0.0013 	0.0006 	71.2238 	11.7316 	-82.9555 	0.0000 	-0.9213 	0.4610 	0.4603 	53.4959 	20.5956 	-74.0915 
